Gmap Neighborhood;PdDistrict;population;black;asian;white;native american indian;native hawaiian/pacific Islander;other/two or more races;latino;high school or less;some college/associate degree;college degree;graduate;median rent;median home value;percapita income;poverty percent;unemployment rate
san francisco;;805240;6;33;48;0.5;0.4;11;15;29;20;31;20;;;45478;12;7
bayview;BAYVIEW;35890;32;33;12;0.7;2.5;20;26;53;29;12;6;;;20765;20;13
downtown/civic center;TENDERLOIN;44240;10;28;46;1;0.4;15;19;39;26;24;11;;;25848;28;10
lakeshore;TARAVAL;16630;5;34;49;0.4;0.3;11;11;21;23;35;21;;;30469;19;7
mariana;NORTHERN;22810;1;11;84;0.1;0.1;4;6;8;12;52;27;;;89013;6;5
Mission;MISSION;57300;4;13;57;1.3;0.3;25;41;36;17;30;18;;;38378;13;6
Outer Mission;INGLESIDE;29040;2;49;31;0.5;0.3;17;27;40;23;28;9;;;32630;6;5
outer richmond;RICHMOND;34770;2;48;44;0.3;0.1;7;7;24;24;33;19;;;39950;7;7
russian hill;CENTRAL;12320;1;21;74;0.1;0.1;4;7;18;13;40;30;;;73912;11;7
South of Market;SOUTHERN;31370;9;33;48;0.8;0.3;9;9;28;20;31;21;;;58271;20;6
twin peaks;PARK;7040;6;19;66;0.5;0.4;8;9;21;22;33;24;;;59048;7;6
