;;population;race percent;;;;;;latino percent;education percent;;;;income;;employment
PdDistrict;Gmap Neighborhood;population;black;asian;white;native american indian;native hawaiian/pacific Islander;other/two or more races;latino;high school or less;some college/associate degree;college degree;graduate;percapita income;poverty percent;unemployment rate
bayview;bayview;35890;32;33;12;0.7;2.5;20;26;53;29;12;6;20765;20;13
central;russian hill;;;;;;;;;;;;;;;
ingleside;Outer Mission;;;;;;;;;;;;;;;
mission;Mission Dolores;;;;;;;;;;;;;;;
northern;mariana;;;;;;;;;;;;;;;
park;twin peaks;;;;;;;;;;;;;;;
richmond;outer richmond;;;;;;;;;;;;;;;
southern;South of Market;;;;;;;;;;;;;;;
taraval;lakeshore;;;;;;;;;;;;;;;
tenderloin;downtown/civic center;;;;;;;;;;;;;;;
